node_name,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct
Architecture and Engineering,55.11,44.89
"Arts, Design, Entertainment, Sports, and Media",64.15,35.85
Building and Grounds Cleaning and Maintenance,52.94,47.06
Business and Financial Operations,57.39,42.61
Community and Social Service,59.99,40.01
Computer and Mathematical,36.1,63.9
Construction and Extraction,33.79,66.21
Educational Instruction and Library,57.23,42.77
"Farming, Fishing, and Forestry",34.93,65.07
Food Preparation and Serving Related,50.87,49.13
Healthcare Practitioners and Technical,58.38,41.62
Healthcare Support,60.92,39.08
"Installation, Maintenance, and Repair",30.56,69.44
Legal,65.43,34.57
"Life, Physical, and Social Science",59.54,40.46
Management,56.1,43.9
Office and Administrative Support,43.98,56.02
Personal Care and Service,44.13,55.87
Production,36.28,63.72
Protective Service,26.42,73.58
Sales and Related,56.21,43.79
Transportation and Material Moving,48.26,51.74
