occupation,global_pct
Gambling and Sports Book Writers and Runners,0.01
Dietetic Technicians,0.08
Glaziers,0.0
Transportation Planners,0.01
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.0
Financial Quantitative Analysts,0.21
Urban and Regional Planners,0.01
Recreational Vehicle Service Technicians,0.01
Occupational Therapists,0.0
"Engineering Teachers, Postsecondary",0.07
Driver/Sales Workers,0.0
Epidemiologists,0.04
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0
Registered Nurses,0.01
Compliance Officers,0.12
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.03
Operating Engineers and Other Construction Equipment Operators,0.0
Human Resources Managers,0.02
"Switchboard Operators, Including Answering Service",0.04
"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.01
Audiologists,0.0
Public Relations Managers,0.17
Mechanical Door Repairers,0.0
Crematory Operators,0.01
Environmental Compliance Inspectors,0.0
Administrative Services Managers,0.14
Desktop Publishers,0.58
Cardiovascular Technologists and Technicians,0.0
Physicists,0.11
Correctional Officers and Jailers,0.18
Fitness and Wellness Coordinators,0.22
"Dispatchers, Except Police, Fire, and Ambulance",0.01
Special Effects Artists and Animators,0.04
School Bus Monitors,0.01
Power Distributors and Dispatchers,0.0
Legal Secretaries and Administrative Assistants,0.06
Audiovisual Equipment Installers and Repairers,0.01
Industrial Engineers,0.02
"Biological Science Teachers, Postsecondary",0.12
"Environmental Scientists and Specialists, Including Health",0.13
Automotive Engineers,0.28
"Plumbers, Pipefitters, and Steamfitters",0.0
Video Game Designers,0.21
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.34
Clinical and Counseling Psychologists,0.74
"Eligibility Interviewers, Government Programs",0.06
Calibration Technologists and Technicians,0.0
Audio and Video Technicians,0.33
Barbers,0.01
Passenger Attendants,0.03
Agricultural Inspectors,0.01
Helpers--Production Workers,0.0
Computer Hardware Engineers,0.83
Supply Chain Managers,0.01
Pest Control Workers,0.02
Floral Designers,0.03
Transportation Inspectors,0.02
Climate Change Policy Analysts,0.0
School Psychologists,0.03
Dishwashers,0.0
Art Directors,0.09
Museum Technicians and Conservators,0.0
Weatherization Installers and Technicians,0.01
Agricultural Technicians,0.19
Gambling Surveillance Officers and Gambling Investigators,0.0
"Bookkeeping, Accounting, and Auditing Clerks",0.32
Customer Service Representatives,0.07
Clergy,0.18
Statistical Assistants,0.44
Biochemists and Biophysicists,0.0
"Library Science Teachers, Postsecondary",0.01
Mechatronics Engineers,0.23
Regulatory Affairs Specialists,0.05
Real Estate Sales Agents,0.04
Avionics Technicians,0.0
Marine Engineers and Naval Architects,0.02
"Layout Workers, Metal and Plastic",0.0
Mental Health Counselors,0.43
"Career/Technical Education Teachers, Middle School",0.01
Mental Health and Substance Abuse Social Workers,0.01
Brickmasons and Blockmasons,0.0
Tile and Stone Setters,0.0
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",0.06
"Teaching Assistants, Special Education",0.01
Spa Managers,0.11
Family Medicine Physicians,0.02
Network and Computer Systems Administrators,0.16
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",0.34
"Office Clerks, General",0.76
"Middle School Teachers, Except Special and Career/Technical Education",0.02
Medical Dosimetrists,0.16
Funeral Home Managers,0.07
Postal Service Mail Carriers,0.0
Physical Therapists,0.02
"Morticians, Undertakers, and Funeral Arrangers",0.01
Personal Care Aides,0.08
"Arbitrators, Mediators, and Conciliators",0.07
"Communications Teachers, Postsecondary",0.01
Security Guards,0.0
"Education Administrators, Postsecondary",0.44
Counter and Rental Clerks,2.72
"Teaching Assistants, Postsecondary",0.6
Home Appliance Repairers,0.0
Social and Community Service Managers,0.05
Stockers and Order Fillers,0.06
Procurement Clerks,0.01
Retail Loss Prevention Specialists,0.02
"Energy Engineers, Except Wind and Solar",0.01
"Entertainment and Recreation Managers, Except Gambling",0.06
Human Resources Specialists,0.03
Self-Enrichment Teachers,0.1
Molecular and Cellular Biologists,0.13
"Cooks, Institution and Cafeteria",0.03
Camera and Photographic Equipment Repairers,0.0
Natural Sciences Managers,0.06
Database Administrators,0.14
Telemarketers,0.47
Civil Engineers,0.04
Insurance Underwriters,0.0
"Tailors, Dressmakers, and Custom Sewers",0.0
"Kindergarten Teachers, Except Special Education",0.02
Preventive Medicine Physicians,0.0
Commercial and Industrial Designers,0.17
Aviation Inspectors,0.0
Chemical Engineers,0.0
Wind Energy Engineers,0.0
Logisticians,0.1
"Computer, Automated Teller, and Office Machine Repairers",0.01
Psychiatric Technicians,0.01
Electrical and Electronics Drafters,0.01
Nuclear Engineers,0.01
Private Detectives and Investigators,0.0
"Painters, Construction and Maintenance",0.01
Occupational Therapy Assistants,0.0
Regulatory Affairs Managers,0.06
Blockchain Engineers,0.06
Animal Caretakers,0.04
Geographic Information Systems Technologists and Technicians,0.91
First-Line Supervisors of Office and Administrative Support Workers,0.38
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.17
Choreographers,0.0
Forest Fire Inspectors and Prevention Specialists,0.0
Dietitians and Nutritionists,0.24
Recreation Workers,0.11
Precision Agriculture Technicians,0.0
Fashion Designers,0.0
"Farmers, Ranchers, and Other Agricultural Managers",0.02
Retail Salespersons,0.4
Librarians and Media Collections Specialists,4.22
Nanotechnology Engineering Technologists and Technicians,0.0
"Environmental Science and Protection Technicians, Including Health",0.0
Tour Guides and Escorts,0.03
Health Informatics Specialists,0.01
Coroners,0.0
Food Cooking Machine Operators and Tenders,0.0
Physician Assistants,0.03
"Architecture Teachers, Postsecondary",0.01
"Claims Adjusters, Examiners, and Investigators",0.01
Software Quality Assurance Analysts and Testers,1.32
Photographers,0.04
Exercise Trainers and Group Fitness Instructors,0.07
"Special Education Teachers, Preschool",0.07
Public Relations Specialists,0.33
Bioinformatics Technicians,0.37
"Cutters and Trimmers, Hand",0.0
"Substitute Teachers, Short-Term",1.38
Aircraft Mechanics and Service Technicians,0.0
"Agents and Business Managers of Artists, Performers, and Athletes",0.12
Metal-Refining Furnace Operators and Tenders,0.0
Forensic Science Technicians,0.0
Management Analysts,0.15
Financial Risk Specialists,0.35
"Camera Operators, Television, Video, and Film",0.03
Couriers and Messengers,0.0
Chief Sustainability Officers,0.0
Radio Frequency Identification Device Specialists,0.0
Environmental Economists,0.12
Operations Research Analysts,0.34
"Business Teachers, Postsecondary",0.04
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.01
Baggage Porters and Bellhops,0.01
Customs and Border Protection Officers,0.05
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.0
Political Scientists,0.1
Producers and Directors,0.11
Market Research Analysts and Marketing Specialists,0.21
Logistics Analysts,0.03
"Court, Municipal, and License Clerks",0.16
Marketing Managers,0.53
Medical Assistants,0.07
"Special Education Teachers, Elementary School",0.05
Government Property Inspectors and Investigators,0.04
Fabric and Apparel Patternmakers,0.0
Patient Representatives,0.02
Public Safety Telecommunicators,0.0
"Hotel, Motel, and Resort Desk Clerks",0.0
Credit Analysts,0.01
Subway and Streetcar Operators,0.0
Shampooers,0.0
Carpet Installers,0.0
Forest and Conservation Workers,0.0
Chefs and Head Cooks,0.01
Aerospace Engineers,0.07
First-Line Supervisors of Police and Detectives,0.03
Computer Systems Analysts,1.91
Instructional Coordinators,1.01
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.0
Nuclear Medicine Technologists,0.0
"Tax Examiners and Collectors, and Revenue Agents",0.01
Interior Designers,0.04
Writers and Authors,2.22
First-Line Supervisors of Passenger Attendants,0.02
Bakers,0.03
Gambling Dealers,0.03
Musicians and Singers,0.01
"Library Assistants, Clerical",0.01
Farm and Home Management Educators,0.03
Nurse Anesthetists,0.0
"Recreation and Fitness Studies Teachers, Postsecondary",0.01
Cartographers and Photogrammetrists,0.02
Soil and Plant Scientists,0.01
Manufactured Building and Mobile Home Installers,0.0
Emergency Management Directors,0.0
Radiologists,0.01
Loss Prevention Managers,0.01
Computer Network Architects,0.04
Gas Compressor and Gas Pumping Station Operators,0.0
Naturopathic Physicians,0.01
Solar Energy Installation Managers,0.01
Paramedics,0.02
Chemical Plant and System Operators,0.0
Chief Executives,0.16
"Transportation, Storage, and Distribution Managers",0.15
Mechanical Engineering Technologists and Technicians,0.19
"Law Teachers, Postsecondary",0.01
Water/Wastewater Engineers,0.03
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.36
"Hairdressers, Hairstylists, and Cosmetologists",0.02
Surveying and Mapping Technicians,0.01
First-Line Supervisors of Food Preparation and Serving Workers,0.01
"Buyers and Purchasing Agents, Farm Products",0.0
"Education Teachers, Postsecondary",0.01
Social Science Research Assistants,0.14
Critical Care Nurses,0.01
Industrial Engineering Technologists and Technicians,0.15
"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.09
Agricultural Engineers,0.02
"Art, Drama, and Music Teachers, Postsecondary",0.2
Merchandise Displayers and Window Trimmers,0.0
Broadcast Technicians,0.01
Film and Video Editors,0.05
Food Science Technicians,0.0
Gem and Diamond Workers,0.0
Atmospheric and Space Scientists,0.02
Quality Control Analysts,0.55
"Chemistry Teachers, Postsecondary",0.01
"Wholesale and Retail Buyers, Except Farm Products",0.08
Park Naturalists,0.01
"Fine Artists, Including Painters, Sculptors, and Illustrators",0.15
Archivists,0.11
First-Line Supervisors of Security Workers,0.0
Licensed Practical and Licensed Vocational Nurses,0.0
Taxi Drivers,0.0
"Patternmakers, Wood",0.02
"Education Administrators, Kindergarten through Secondary",0.51
Computer Network Support Specialists,0.08
Health Information Technologists and Medical Registrars,0.0
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.01
Sports Medicine Physicians,0.09
"Child, Family, and School Social Workers",0.04
Bioengineers and Biomedical Engineers,0.02
Cardiologists,0.84
"Agricultural Sciences Teachers, Postsecondary",0.01
"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.0
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.0
Rehabilitation Counselors,0.01
Electrical and Electronic Engineering Technologists and Technicians,0.01
Library Technicians,1.5
Data Scientists,0.61
Digital Forensics Analysts,0.25
Stationary Engineers and Boiler Operators,0.45
General Internal Medicine Physicians,0.02
Psychiatric Aides,0.0
Talent Directors,0.0
Human Factors Engineers and Ergonomists,0.07
Paperhangers,0.0
Online Merchants,0.6
"Elementary School Teachers, Except Special Education",0.04
Equal Opportunity Representatives and Officers,0.0
Brownfield Redevelopment Specialists and Site Managers,0.0
Diagnostic Medical Sonographers,0.0
Acute Care Nurses,0.03
Surveyors,0.01
Real Estate Brokers,0.0
Traffic Technicians,0.01
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.01
"Credit Authorizers, Checkers, and Clerks",0.01
Art Therapists,0.01
Insurance Claims and Policy Processing Clerks,0.84
Training and Development Specialists,0.13
Cytogenetic Technologists,0.0
Fundraising Managers,0.05
Investment Fund Managers,0.14
"Psychology Teachers, Postsecondary",0.01
"Educational, Guidance, and Career Counselors and Advisors",0.2
Orthoptists,0.04
Automotive Engineering Technicians,0.02
Psychiatrists,0.01
First-Line Supervisors of Correctional Officers,0.01
Massage Therapists,0.0
"Economics Teachers, Postsecondary",0.01
Nannies,0.0
"Poets, Lyricists and Creative Writers",1.49
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.02
"Pediatricians, General",0.02
"Mining and Geological Engineers, Including Mining Safety Engineers",0.0
"Forestry and Conservation Science Teachers, Postsecondary",0.05
Geothermal Technicians,0.21
Actuaries,0.07
Millwrights,0.04
"Dentists, General",0.0
Purchasing Managers,0.03
First-Line Supervisors of Retail Sales Workers,0.04
Microbiologists,0.01
Billing and Posting Clerks,0.04
"Philosophy and Religion Teachers, Postsecondary",0.35
Hospitalists,0.0
Gambling Managers,0.0
Bioinformatics Scientists,0.39
"Preschool Teachers, Except Special Education",0.01
Marriage and Family Therapists,0.53
Document Management Specialists,5.1
Materials Scientists,0.08
Air Traffic Controllers,0.01
"Family and Consumer Sciences Teachers, Postsecondary",0.01
"Physicians, Pathologists",0.01
