iso3,food_serving,personal_care,arts_media,sales,transport,office_admin,tour_soc_mean,ai_autonomy_mean,ai_education_years_mean,artifact_academic_paper_or_thesis_pct,artifact_advice_or_recommendation_pct,artifact_analysis_or_summary_pct,artifact_app_or_website_pct,artifact_audio_or_music_pct,artifact_blog_or_article_pct,artifact_chart_or_visualization_pct,artifact_code_fix_or_debug_pct,artifact_config_or_infra_pct,artifact_creative_writing_pct,artifact_data_or_spreadsheet_pct,artifact_document_or_report_pct,artifact_educational_material_pct,artifact_email_or_message_pct,artifact_explanation_or_answer_pct,artifact_game_or_interactive_pct,artifact_idea_or_brainstorm_pct,artifact_image_or_graphic_pct,artifact_marketing_or_social_content_pct,artifact_math_or_calculation_pct,artifact_ml_or_ai_system_pct,artifact_none_pct,artifact_other_pct,artifact_plan_or_strategy_pct,artifact_presentation_or_slides_pct,artifact_recipe_or_meal_plan_pct,artifact_resume_or_job_application_pct,artifact_script_or_snippet_pct,artifact_sql_or_database_query_pct,artifact_translation_pct,artifact_ui_or_design_mockup_pct,artifact_video_or_animation_pct,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct,collaboration_directive_pct,collaboration_feedback_loop_pct,collaboration_learning_pct,collaboration_none_pct,collaboration_task_iteration_pct,collaboration_validation_pct,human_education_years_mean,human_only_ability_pct,human_only_time_mean,human_with_ai_time_mean,multitasking_pct,usage_pct,usage_per_capita_index,use_case_coursework_pct,use_case_personal_pct,use_case_work_pct,arrivals,tour_receipts,gdp_pc,population,services_emp,travel_exp_share,internet_users,mobile_subs,working_age_share,unemployment,services_va,ict_exports,gdp_growth,homicides,arrivals_pc,tour_receipts_pc
AGO,,2.07,15.13,6.3,,8.98,2.07,2.9,11.96,1.57,5.16,2.98,8.3,0.05,0.25,1.87,3.74,1.26,1.47,3.09,18.97,4.15,3.14,16.79,0.1,0.3,1.62,2.48,1.72,0.35,7.18,0.35,3.24,3.09,0.25,1.47,2.78,0.35,0.71,1.01,0.2,45.46,54.54,40.07,12.87,14.29,2.94,28.32,1.52,10.2,78.91,5.62,30.6,20.17,0.05,0.1,28.51,34.02,37.46,218000.0,19000000.0,2720.81900669715,37885849,40.687555299181,13.5414758434709,40.70479965,69.7039467163584,52.7966160558179,14.02,44.6075572777557,22.3087695729056,4.95267860425956,,0.0057541273524053796,0.5015065123656065
ALB,,1.15,13.53,8.66,,7.44,1.15,2.79,12.13,2.2,11.07,4.34,5.63,0.0,0.65,1.81,4.53,1.36,1.1,1.94,11.84,1.94,3.56,16.12,0.26,0.39,1.42,3.43,2.01,0.52,6.28,0.06,3.5,3.56,0.65,2.01,4.27,0.97,1.17,1.17,0.26,51.59,48.41,29.0,17.62,17.43,3.71,29.84,2.41,10.89,85.31,4.91,36.72,22.91,0.04,1.02,20.97,37.02,42.01,2658000.0,1243000000.0,11374.0085781236,2377128,46.7791156790644,67.3977584441404,85.86389923,89.1328603947682,66.2364608476109,10.689,48.6899937474805,2.98437302423958,4.04592845095348,1.38708340817063,1.1181560269367068,522.8999027397767
ARE,0.4,1.24,13.11,9.48,0.42,9.08,0.8200000000000001,2.82,12.59,0.42,10.54,5.38,4.84,0.02,0.37,2.12,2.35,1.28,0.81,4.7,15.05,2.42,6.55,12.94,0.23,0.59,1.18,3.48,1.11,0.56,6.54,0.19,4.88,3.46,0.68,2.5,2.21,0.34,0.79,1.08,0.39,49.72,50.28,34.13,14.97,13.6,2.36,32.61,2.34,11.55,85.56,5.63,38.47,24.75,0.61,2.84,9.09,36.28,54.63,8084000.0,24615400390.625,50273.5126243239,10986400,67.9435420294033,39.2401261450668,100.0,203.206410299544,82.1220600575181,2.16,54.9012850392245,4.58026730740351,3.99181200361831,0.693218125037315,0.7358188305541397,2240.5337863745176
ARG,0.36,1.29,11.9,8.35,0.31,8.03,0.825,2.77,12.44,0.52,8.31,5.7,5.66,0.02,0.29,2.94,3.41,1.43,1.47,4.25,14.85,4.02,2.97,15.51,0.45,0.64,1.31,3.59,1.89,0.59,6.11,0.2,4.42,2.04,0.63,1.24,3.1,0.51,0.61,1.09,0.26,52.13,47.87,28.4,18.29,15.93,2.47,32.21,2.7,11.38,84.34,4.96,41.62,23.49,1.05,1.48,19.32,33.81,46.87,7399000.0,1702000000.0,13969.7836603737,45696159,71.6393298183816,28.8898726994435,89.66715228,140.234979049333,65.9800531593914,7.15,53.6514046050424,15.7406131318319,-1.34293072157739,4.49291137824536,0.16191732876279602,37.24601886123514
ARM,,1.77,15.55,9.28,,5.31,1.77,2.71,12.35,1.14,9.42,5.47,3.95,0.11,0.6,1.79,4.71,2.82,1.25,2.0,11.37,2.92,3.63,18.52,0.27,0.65,1.08,3.57,1.19,1.03,6.93,0.32,3.74,2.71,0.49,1.41,3.19,0.32,1.84,1.19,0.38,52.0,48.0,29.36,17.02,17.89,3.37,28.71,3.64,11.2,88.41,4.16,36.78,19.76,0.05,0.95,14.08,39.74,46.18,375000.0,303000000.0,8556.21406956719,3033500,51.6221413408052,43.0848544980987,81.33930206,134.88694751567,67.0601533606123,12.405,61.9893697453885,20.1631222184294,5.90000000046228,2.20833575400906,0.12361958134168452,99.8846217240811
AUS,0.43,1.13,14.52,8.94,0.38,8.38,0.7799999999999999,2.72,12.73,1.24,11.36,5.92,3.12,0.02,0.41,2.27,2.34,1.28,1.22,3.14,17.94,2.77,6.09,15.14,0.29,0.72,0.71,2.56,1.8,0.27,6.08,0.15,4.11,2.11,0.74,2.04,2.58,0.32,0.33,0.77,0.17,54.5,45.5,29.41,15.07,15.72,2.25,33.87,3.68,12.1,90.75,4.61,43.39,25.95,2.65,6.4,20.69,36.64,42.67,1828000.0,26234000000.0,64609.9865116088,27194286,78.4103732027917,61.5808582505085,96.13140106,112.581025002429,64.4281358227139,3.942,66.1399054113301,2.9841114443513,1.37340773365975,0.854406035826682,0.06722000349632272,964.6879495199837
AUT,0.48,0.97,13.08,9.9,0.28,7.22,0.725,2.68,12.57,1.54,11.82,5.59,3.47,0.04,0.52,1.93,3.36,2.07,1.32,2.24,13.12,2.43,5.12,19.78,0.34,0.7,0.76,2.36,1.68,0.47,6.05,0.15,3.7,1.91,0.82,1.2,3.39,0.3,1.16,0.47,0.17,54.06,45.94,28.09,16.7,19.24,2.49,29.68,3.8,11.77,90.19,3.97,39.85,22.0,0.37,2.61,18.17,44.62,37.2,15091000.0,15362000000.0,58268.8787651601,9177982,72.3416687261318,27.2655563062523,94.91974877,124.45929984531,65.1655943390134,5.2,63.9706809373681,12.5391686110301,-0.659089573171372,0.876191031111463,1.6442612330248632,1673.788421027629
AZE,,1.89,12.08,9.25,,5.67,1.89,2.67,11.74,0.96,10.29,3.56,4.75,0.0,0.1,2.09,5.06,2.33,1.71,2.43,9.64,3.32,2.43,22.3,0.51,0.58,0.75,2.12,1.33,0.41,6.5,0.34,3.69,3.28,0.34,1.44,3.73,0.75,2.19,0.82,0.24,51.42,48.58,28.51,18.34,20.85,3.54,26.11,2.65,10.37,85.77,4.1,33.82,20.22,0.07,0.43,18.88,44.87,36.25,796000.0,340000000.0,7294.64276088105,10202830,49.8776478507312,25.2084534198823,90.43979645,109.543149535867,69.6325984108376,5.648,42.5024619796055,1.36999947912043,4.15806800428062,2.16122820563689,0.07801756963509145,33.32408753257675
BEL,0.51,1.07,14.58,9.76,0.33,7.55,0.79,2.67,12.65,2.34,10.91,5.71,3.03,0.02,0.39,2.36,2.71,1.66,1.08,2.38,14.32,3.22,5.07,20.2,0.4,0.73,0.89,1.88,1.74,0.32,5.65,0.17,3.8,2.05,0.85,1.29,2.59,0.31,1.23,0.62,0.1,57.3,42.7,26.9,14.86,21.09,2.23,31.17,3.76,11.81,89.5,4.08,40.44,23.07,0.68,3.8,28.26,38.9,32.84,2584000.0,7447000000.0,56581.9375642531,11858610,79.4676830825322,6.24913666278105,95.77579144,103.90465332676,63.4457922250499,5.7,71.0243496560734,14.6697052675351,1.09775383828703,1.08030153549307,0.217900748907334,627.982537582398
BEN,,1.16,17.54,6.74,,7.48,1.16,2.81,12.29,2.15,5.05,2.46,7.27,0.03,0.67,2.32,3.3,1.25,1.51,2.26,20.03,3.94,3.9,13.83,0.24,0.98,1.41,4.64,2.63,0.61,5.18,0.3,3.6,2.12,0.17,1.82,3.43,0.61,0.71,1.11,0.47,52.63,47.37,32.87,13.38,14.49,2.36,34.7,2.2,11.03,79.37,6.83,42.71,24.58,0.07,0.39,27.03,33.02,39.95,337000.0,240860000.610352,1485.38018885134,14462724,40.6672321336634,54.4294604574235,33.98379898,125.940873932186,55.3293625737447,1.637,48.8795399933978,3.04090040864195,7.45311566226201,,0.02330128128006868,16.653847547000968
BFA,,1.55,14.02,6.57,,8.64,1.55,2.84,12.7,1.92,5.24,3.84,5.55,0.05,0.1,1.92,2.95,0.78,1.19,2.44,21.77,6.12,2.28,16.02,0.16,0.67,1.04,2.02,4.72,0.52,6.64,0.16,2.85,1.92,0.21,1.71,2.75,0.31,0.98,0.83,0.36,47.4,52.6,39.43,11.58,15.79,3.01,28.57,1.61,11.41,80.78,5.93,33.76,19.59,0.05,0.15,38.76,30.26,30.98,67000.0,173000000.0,982.493100418428,23548781,31.1555829082131,20.0788597207582,28.25270081,116.5895933212,55.5461979114758,3.441,43.961173085479,14.2143612785876,4.83395810163883,,0.0028451578873658046,7.346452455437078
BGD,0.38,1.33,14.23,8.12,0.22,6.59,0.855,2.75,11.97,1.33,7.67,3.28,6.82,0.02,0.86,2.77,4.61,1.3,1.66,2.14,11.35,5.53,2.53,16.91,0.35,0.76,1.29,4.07,2.47,0.69,6.25,0.19,4.17,2.21,0.18,1.89,3.52,0.33,0.96,1.21,0.69,49.25,50.75,36.86,12.51,18.02,2.71,27.36,2.54,10.65,84.65,5.03,30.96,17.69,0.31,0.11,27.07,36.48,36.45,323000.0,217899993.896484,2593.41611680774,173562364,37.3715657723132,5.9410210786561,53.42171316,108.077037369691,65.5126064657658,3.635,51.4166555046575,9.51203440588108,4.22325911250161,,0.0018610025385457415,1.2554564761314497
