geo_id,tour_soc_mean,period
AUS,0.21821278407578898,2025-08
BRA,0.09141539153915385,2025-08
CAN,0.2930832356389214,2025-08
DEU,0.2500297654482676,2025-08
ESP,0.1980571536357634,2025-08
FRA,0.3304274465691787,2025-08
GBR,0.3307246471724678,2025-08
IDN,0.0969690253227682,2025-08
IND,0.11491594512944295,2025-08
ISR,0.1915010031004924,2025-08
ITA,0.28103532024148203,2025-08
JPN,0.24040501173742113,2025-08
KOR,0.16973606042603728,2025-08
NLD,0.1929508618471829,2025-08
PHL,0.1869775626924768,2025-08
USA,0.6119672531652233,2025-08
ARE,0.77,2026-04
ARG,0.885,2026-04
ARM,1.78,2026-04
AUS,0.82,2026-04
AUT,0.6699999999999999,2026-04
AZE,1.29,2026-04
BEL,0.795,2026-04
BEN,0.84,2026-04
BGD,0.8400000000000001,2026-04
BGR,0.74,2026-04
BOL,0.8899999999999999,2026-04
BRA,0.73,2026-04
CAN,0.785,2026-04
CHE,0.85,2026-04
CHL,0.825,2026-04
CIV,1.27,2026-04
CMR,1.25,2026-04
COL,0.78,2026-04
CRI,1.13,2026-04
CYP,1.17,2026-04
CZE,0.74,2026-04
DEU,0.8,2026-04
DNK,0.79,2026-04
DOM,1.31,2026-04
DZA,0.9600000000000001,2026-04
ECU,1.44,2026-04
EGY,0.72,2026-04
ESP,0.855,2026-04
EST,1.21,2026-04
FIN,0.695,2026-04
FRA,0.905,2026-04
GBR,0.815,2026-04
GEO,1.015,2026-04
GHA,0.7050000000000001,2026-04
GRC,0.76,2026-04
GTM,1.32,2026-04
HRV,0.795,2026-04
HUN,0.8099999999999999,2026-04
IDN,0.685,2026-04
IND,0.705,2026-04
IRL,0.75,2026-04
IRQ,2.16,2026-04
ISR,0.9199999999999999,2026-04
ITA,0.835,2026-04
JAM,1.34,2026-04
JOR,2.11,2026-04
JPN,0.92,2026-04
KAZ,0.99,2026-04
KEN,0.7,2026-04
KGZ,1.91,2026-04
KHM,2.25,2026-04
KOR,0.755,2026-04
KWT,1.83,2026-04
LBN,1.26,2026-04
LKA,1.2,2026-04
LTU,0.795,2026-04
LVA,1.05,2026-04
MAR,0.8350000000000001,2026-04
MDA,1.64,2026-04
MDG,1.34,2026-04
MEX,0.885,2026-04
MNG,1.43,2026-04
MYS,0.735,2026-04
NGA,0.6799999999999999,2026-04
NLD,0.8400000000000001,2026-04
NOR,0.73,2026-04
NPL,0.8,2026-04
NZL,0.735,2026-04
OMN,1.54,2026-04
PAK,0.7150000000000001,2026-04
PAN,1.38,2026-04
PER,0.825,2026-04
PHL,0.755,2026-04
POL,0.915,2026-04
PRI,1.2,2026-04
PRT,0.855,2026-04
PRY,1.06,2026-04
QAT,1.51,2026-04
ROU,0.88,2026-04
SAU,0.895,2026-04
SEN,1.24,2026-04
SGP,0.85,2026-04
SLV,0.95,2026-04
SRB,1.01,2026-04
SVK,0.73,2026-04
SVN,1.09,2026-04
SWE,0.7350000000000001,2026-04
THA,0.8600000000000001,2026-04
TUN,0.7000000000000001,2026-04
TUR,0.855,2026-04
TWN,0.81,2026-04
TZA,1.37,2026-04
UGA,1.3,2026-04
UKR,0.8,2026-04
URY,1.37,2026-04
USA,0.85,2026-04
UZB,1.87,2026-04
VNM,0.855,2026-04
ZAF,0.705,2026-04
ZWE,1.38,2026-04
AGO,2.07,2026-05
ALB,1.15,2026-05
ARE,0.8200000000000001,2026-05
ARG,0.825,2026-05
ARM,1.77,2026-05
AUS,0.7799999999999999,2026-05
AUT,0.725,2026-05
AZE,1.89,2026-05
BEL,0.79,2026-05
BEN,1.16,2026-05
BFA,1.55,2026-05
BGD,0.855,2026-05
BGR,0.74,2026-05
BHR,1.46,2026-05
BIH,1.24,2026-05
BOL,1.22,2026-05
BRA,0.77,2026-05
CAN,0.925,2026-05
CHE,0.895,2026-05
CHL,0.8049999999999999,2026-05
CIV,0.88,2026-05
CMR,0.94,2026-05
COL,0.755,2026-05
CRI,0.9049999999999999,2026-05
CYP,0.8,2026-05
CZE,0.765,2026-05
DEU,0.865,2026-05
DNK,0.6799999999999999,2026-05
DOM,0.9149999999999999,2026-05
DZA,0.98,2026-05
ECU,0.8,2026-05
EGY,0.925,2026-05
ESP,0.865,2026-05
EST,1.27,2026-05
FIN,0.8150000000000001,2026-05
FRA,0.9299999999999999,2026-05
GBR,0.865,2026-05
GEO,0.975,2026-05
GHA,0.875,2026-05
GRC,0.755,2026-05
GTM,0.8799999999999999,2026-05
HND,1.42,2026-05
HRV,0.9299999999999999,2026-05
HTI,1.64,2026-05
HUN,0.83,2026-05
IDN,0.735,2026-05
IND,0.795,2026-05
IRL,1.04,2026-05
IRQ,1.245,2026-05
ISR,0.8049999999999999,2026-05
ITA,0.84,2026-05
JOR,1.47,2026-05
JPN,0.875,2026-05
KAZ,1.01,2026-05
KEN,0.8,2026-05
KGZ,2.87,2026-05
KHM,1.17,2026-05
KOR,0.77,2026-05
KWT,0.875,2026-05
LBN,1.14,2026-05
LKA,0.84,2026-05
LTU,0.815,2026-05
LUX,1.12,2026-05
LVA,0.9299999999999999,2026-05
MAR,0.9099999999999999,2026-05
MDA,1.05,2026-05
MDG,1.65,2026-05
MEX,0.85,2026-05
MNG,2.05,2026-05
MOZ,1.74,2026-05
MUS,1.2,2026-05
MYS,0.73,2026-05
NGA,0.87,2026-05
NLD,0.9099999999999999,2026-05
NOR,0.77,2026-05
NPL,0.895,2026-05
NZL,0.745,2026-05
OMN,1.65,2026-05
PAK,0.72,2026-05
PAN,1.34,2026-05
PER,0.835,2026-05
PHL,0.865,2026-05
POL,1.05,2026-05
PRI,1.0150000000000001,2026-05
PRT,0.7250000000000001,2026-05
PRY,1.24,2026-05
PSE,1.56,2026-05
QAT,0.85,2026-05
ROU,0.7949999999999999,2026-05
RWA,1.54,2026-05
SAU,0.97,2026-05
SEN,0.97,2026-05
SGP,0.835,2026-05
SLV,1.42,2026-05
SRB,0.82,2026-05
SVK,0.845,2026-05
SVN,1.01,2026-05
SWE,0.86,2026-05
TGO,1.55,2026-05
THA,0.855,2026-05
TTO,1.65,2026-05
TUN,0.6599999999999999,2026-05
TUR,0.9,2026-05
TWN,0.675,2026-05
TZA,1.69,2026-05
UGA,0.96,2026-05
UKR,0.9550000000000001,2026-05
URY,0.935,2026-05
USA,0.9550000000000001,2026-05
UZB,1.4449999999999998,2026-05
VNM,0.775,2026-05
ZAF,0.745,2026-05
ZMB,1.36,2026-05
ZWE,1.18,2026-05
