iso3,period,tour_soc_mean,food,personal
AUS,2025-08,0.21821278407578898,0.1916014689445953,0.2448240992069827
BRA,2025-08,0.09141539153915385,0.0534428442844284,0.1293879387938793
CA,2025-08,0.3603398573812775,0.2901684114701865,0.4305113032923684
CAN,2025-08,0.2930832356389214,0.1953888237592809,0.3907776475185619
DEU,2025-08,0.2500297654482676,0.2182799539627733,0.2817795769337619
FL,2025-08,0.1863932898415656,0.1863932898415656,0.1863932898415656
FRA,2025-08,0.3304274465691787,0.2249718785151855,0.4358830146231719
GBR,2025-08,0.3307246471724678,0.2554111136579455,0.4060381806869901
GLOBAL,2025-08,0.4862600265928287,0.3562942912266399,0.6162257619590175
IDN,2025-08,0.0969690253227682,0.0997395689034187,0.0941984817421177
IND,2025-08,0.11491594512944295,0.0607103106344227,0.1691215796244632
ITA,2025-08,0.28103532024148203,0.1110262993546595,0.4510443411283046
JPN,2025-08,0.24040501173742113,0.1725259495997963,0.3082840738750459
KOR,2025-08,0.16973606042603728,0.1301309796599619,0.2093411411921127
NY,2025-08,0.37516170763260026,0.2535575679172057,0.4967658473479948
TX,2025-08,0.15071049232094155,0.1650638725419836,0.1363571120998995
USA,2025-08,0.6119672531652233,0.56142905730696,0.6625054490234865
ARE,2026-04,0.77,0.29,1.25
ARG,2026-04,0.885,0.4,1.37
AUS,2026-04,0.82,0.45,1.19
AUT,2026-04,0.6699999999999999,0.37,0.97
BEL,2026-04,0.795,0.5,1.09
BGD,2026-04,0.8400000000000001,0.32,1.36
BGR,2026-04,0.74,0.5,0.98
BOL,2026-04,0.8899999999999999,0.6,1.18
BRA,2026-04,0.73,0.28,1.18
CAN,2026-04,0.785,0.49,1.08
CHE,2026-04,0.85,0.53,1.17
CHL,2026-04,0.825,0.27,1.38
COL,2026-04,0.78,0.28,1.28
CZE,2026-04,0.74,0.43,1.05
DEU,2026-04,0.8,0.48,1.12
DNK,2026-04,0.79,0.57,1.01
DZA,2026-04,0.9600000000000001,0.33,1.59
EGY,2026-04,0.72,0.23,1.21
ESP,2026-04,0.855,0.49,1.22
FIN,2026-04,0.695,0.44,0.95
FRA,2026-04,0.905,0.57,1.24
GBR,2026-04,0.815,0.46,1.17
GEO,2026-04,1.015,0.65,1.38
GHA,2026-04,0.7050000000000001,0.33,1.08
GRC,2026-04,0.76,0.45,1.07
HRV,2026-04,0.795,0.55,1.04
HUN,2026-04,0.8099999999999999,0.45,1.17
IDN,2026-04,0.685,0.25,1.12
IND,2026-04,0.705,0.27,1.14
IRL,2026-04,0.75,0.39,1.11
ISR,2026-04,0.9199999999999999,0.37,1.47
ITA,2026-04,0.835,0.51,1.16
JPN,2026-04,0.92,0.54,1.3
KAZ,2026-04,0.99,0.52,1.46
KEN,2026-04,0.7,0.35,1.05
KOR,2026-04,0.755,0.31,1.2
LTU,2026-04,0.795,0.52,1.07
MAR,2026-04,0.8350000000000001,0.33,1.34
MEX,2026-04,0.885,0.44,1.33
MYS,2026-04,0.735,0.29,1.18
NGA,2026-04,0.6799999999999999,0.23,1.13
NLD,2026-04,0.8400000000000001,0.58,1.1
NOR,2026-04,0.73,0.49,0.97
NPL,2026-04,0.8,0.48,1.12
NZL,2026-04,0.735,0.43,1.04
PAK,2026-04,0.7150000000000001,0.32,1.11
PER,2026-04,0.825,0.18,1.47
PHL,2026-04,0.755,0.33,1.18
POL,2026-04,0.915,0.39,1.44
PRI,2026-04,1.2,0.88,1.52
