iso3,tour_soc_mean,usage_per_capita_index,gdp_pc,arrivals_pc
AGO,2.07,0.1,2720.81900669715,0.0057541273524053
ALB,1.15,1.02,11374.0085781236,1.1181560269367068
ARE,0.8200000000000001,2.84,50273.5126243239,0.7358188305541397
ARG,0.825,1.48,13969.7836603737,0.161917328762796
ARM,1.77,0.95,8556.21406956719,0.1236195813416845
AUS,0.7799999999999999,6.4,64609.9865116088,0.0672200034963227
AUT,0.725,2.61,58268.8787651601,1.6442612330248632
AZE,1.89,0.43,7294.64276088105,0.0780175696350914
BEL,0.79,3.8,56581.9375642531,0.217900748907334
BEN,1.16,0.39,1485.38018885134,0.0233012812800686
BFA,1.55,0.15,982.493100418428,0.0028451578873658
BGD,0.855,0.11,2593.41611680774,0.0018610025385457
BGR,0.74,1.36,17596.9167621233,0.7720346178273396
BHR,1.46,1.5,29717.1424605273,1.2016340712671605
BIH,1.24,0.61,9397.90942855997,0.0622579800034953
BOL,1.22,0.56,4421.16609889999,0.0260446132071061
BRA,0.77,0.96,10310.5486973693,0.0299671828451411
CAN,0.925,4.13,55015.7066917734,0.7859469105585387
CHE,0.895,5.02,107702.065940312,1.3122971952284703
CHL,0.8049999999999999,1.84,16658.9652720351,0.2747818327872354
CIV,0.88,0.3,2727.8935220697,0.0209179930125135
CMR,0.94,0.38,1830.00833684727,0.0350573058189221
COL,0.755,1.18,7951.08624019412,0.0263962186244495
CRI,0.905,1.57,18853.2828705886,0.2234931996857644
CYP,0.8,3.08,38674.3125,3.031034792480501
CZE,0.765,1.84,31827.7552539413,3.4114538724705703
DEU,0.865,2.4,56103.7323182554,0.1490601993306887
DNK,0.6799999999999999,3.57,71026.4832271897,2.609171971453199
DOM,0.915,0.67,10875.6618443092,0.2404713448377461
DZA,0.98,0.56,5752.99076651465,0.012624345531285
ECU,0.8,0.58,6826.5294137822,0.116236252499107
EGY,0.925,0.36,3338.47371043679,0.1117744526436975
ESP,0.865,2.69,35326.7683069278,0.7453605858399094
EST,1.27,3.21,31428.3547816104,1.2351157620445647
FIN,0.8150000000000001,2.19,53155.5451165897,0.1594331298129098
FRA,0.93,3.97,46103.0840855884,1.7083322556787943
GBR,0.865,3.35,53341.3131094262,0.1602315209076081
GEO,0.975,1.8,8967.67525638987,0.3968505853611707
GHA,0.875,0.38,2419.2518672482,
GRC,0.755,1.51,24626.1481858973,0.7117640195695701
GTM,0.8799999999999999,0.37,6150.89465281457,0.0322714557507
HND,1.42,0.26,3415.96027916712,0.0617973724200636
HRV,0.93,1.8,24049.9441746337,5.588950390564379
HTI,1.64,0.14,2060.35591768638,0.0796768280671735
HUN,0.83,1.07,23305.4482514359,3.309013272760643
IDN,0.735,0.46,4925.43644992666,0.0142969049359635
IND,0.795,0.3,2591.9916607122,0.0123465146501441
