occupation,global_pct
Waiters and Waitresses,0.17
Food Service Managers,0.13
"Meeting, Convention, and Event Planners",0.12
Recreation Workers,0.11
Curators,0.08
Reservation and Transportation Ticket Agents and Travel Clerks,0.08
"Entertainment and Recreation Managers, Except Gambling",0.06
Lodging Managers,0.03
Tour Guides and Escorts,0.03
Baggage Porters and Bellhops,0.01
Chefs and Head Cooks,0.01
Travel Agents,0.01
"Cooks, Restaurant",0.01
Concierges,0.01
Flight Attendants,0.01
Museum Technicians and Conservators,0.0
"Hotel, Motel, and Resort Desk Clerks",0.0
Travel Guides,0.0
Amusement and Recreation Attendants,0.0
