variable,r,ci_lo,ci_hi,n
usage_per_capita_index,-0.3554187264011111,-0.4556772452945456,-0.255889179331373,113
gdp_pc,-0.2963210426672477,-0.4087938924512235,-0.1924783427447153,113
arrivals_pc,-0.20521173390980613,-0.42451821523832783,0.006605090189279219,107
tour_receipts_pc,-0.2663277002047628,-0.44035796694437845,-0.09714753588756303,99
services_emp,-0.3421838295195708,-0.5036673303792215,-0.1858317278226492,113
travel_exp_share,0.1727229696128875,0.0375744633390733,0.3319826000844781,111
internet_users,-0.2957874862793039,-0.5118896791932388,-0.0987616648360524,113
mobile_subs,-0.2948513023295076,-0.4537110132590417,-0.1167292436675138,113
unemployment,0.1000817767136495,-0.09267593571663,0.3445672634305287,113
services_va,-0.3799824242212802,-0.5229803531774114,-0.2419024370749208,113
ict_exports,-0.1681325580761014,-0.3055252405079627,-0.0313130115678223,111
