occupation,ai_autonomy_mean,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct,human_only_ability_pct,global_pct,use_case_work_pct
Waiters and Waitresses,2.73,40.14,59.86,99.53,0.17,2.82
Food Service Managers,2.86,47.95,52.05,95.93,0.13,33.7
"Meeting, Convention, and Event Planners",3.03,63.39,36.61,83.72,0.12,75.83
Recreation Workers,2.7,46.27,53.73,95.29,0.11,41.09
Reservation and Transportation Ticket Agents and Travel Clerks,2.36,67.1,32.9,98.64,0.08,18.23
Curators,2.78,76.04,23.96,86.82,0.08,45.5
"Entertainment and Recreation Managers, Except Gambling",2.94,61.21,38.79,96.67,0.06,52.97
Tour Guides and Escorts,2.69,35.92,64.08,98.42,0.03,26.64
Lodging Managers,2.74,38.94,61.06,95.21,0.03,39.02
Baggage Porters and Bellhops,2.78,26.13,73.87,98.54,0.01,28.45
Chefs and Head Cooks,2.75,60.36,39.64,95.38,0.01,24.37
Travel Agents,2.84,38.93,61.07,99.05,0.01,7.62
Flight Attendants,2.32,28.29,71.71,97.69,0.01,1.92
"Cooks, Restaurant",2.59,28.53,71.47,98.13,0.01,14.13
Concierges,2.78,23.23,76.77,100.0,0.01,6.22
Amusement and Recreation Attendants,2.81,41.67,58.33,96.0,0.0,48.0
"Hotel, Motel, and Resort Desk Clerks",2.6,57.71,42.29,98.91,0.0,7.07
Museum Technicians and Conservators,2.59,39.17,60.83,98.37,0.0,27.64
Travel Guides,2.87,30.08,69.92,98.53,0.0,3.68
